isbn,author,published_date,pages,publisher,title,genre,price
494981721-3,Corney Fanti,10/20/1927,849,Oozz,orci mauris lacinia sapien quis,Young Adult,459.83
340437531-9,Seumas Catcherside,5/6/1992,163,Jaxspan,pretium iaculis diam erat fermentum justo,Geography,408.38
231525634-8,Ronald Bewlie,5/21/2023,888,Tagfeed,fringilla rhoncus mauris enim leo,Medical,666.15
003677559-2,Tabatha Janu,7/18/1940,211,Janyx,mauris enim leo rhoncus sed,Photography,440.21
851843132-8,Benton Phifer,11/11/1927,175,Dynazzy,amet diam in magna bibendum,Psychology,301.94
167367105-5,Ruthie Lenham,5/31/2018,936,Tagopia,nisl aenean lectus pellentesque eget nunc,Nature,346.02
072789014-X,Molli Lodeke,6/8/1944,155,Vipe,nulla suscipit ligula in lacus curabitur,Philology,903.18
014394920-9,Alphonse Caban,3/18/2021,53,Youfeed,orci vehicula condimentum curabitur in,History,270.28
822465709-4,Ruthy Godbert,10/17/1964,977,Tagfeed,massa quis augue luctus tincidunt,Archeology,708.99
831485216-3,Salomon Corstan,9/18/1918,777,Dabvine,ante ipsum primis in faucibus orci,Philology,945.97
223244080-X,Edd Yashaev,1/7/1965,282,Trudeo,sapien non mi integer ac,Investing,587.56
668848051-4,Vanda Storr,4/22/1982,618,Mybuzz,nisl aenean lectus pellentesque eget,Philology,506.1
842879623-8,Ynez Freschi,7/14/2018,964,Topicshots,leo odio condimentum id luctus,Linguistics,549.03
828196924-5,Wilfrid Tomkys,7/9/1950,184,Yacero,nam ultrices libero non mattis,Geography,531.53
094901274-2,Sibeal O'Leagham,5/25/1917,366,Blogtag,imperdiet sapien urna pretium nisl ut,Gender Studies,144.6
309073485-0,Maximilien Dobrovolny,12/1/1909,299,Skilith,consectetuer eget rutrum at lorem integer,Science,695
755457276-8,Tanner Muslim,2/20/1992,829,Devshare,vestibulum eget vulputate ut ultrices vel,Communication,283.1
865444397-9,Auria Fitchet,12/21/1928,75,Devbug,justo sollicitudin ut suscipit a,Psychology,777.21
446258580-1,Merci Mingaud,1/7/1995,701,Voomm,bibendum morbi non quam nec dui,Mystery,481.33
474922449-9,Megen Guesford,8/24/1923,508,Dabshots,morbi porttitor lorem id ligula,Management,785.96
